CountyMontezuma,"Hillary Clinton / Tim Kaine (DEM)3,973","Donald J. Trump / Michael R. Pence (REP)7,853","Total12,858"
CountyMontrose,"Hillary Clinton / Tim Kaine (DEM)5,466","Donald J. Trump / Michael R. Pence (REP)14,382","Total21,186"
CountyMorgan,"Hillary Clinton / Tim Kaine (DEM)3,151","Donald J. Trump / Michael R. Pence (REP)8,145","Total11,960"
CountyOtero,"Hillary Clinton / Tim Kaine (DEM)2,943","Donald J. Trump / Michael R. Pence (REP)4,928","Total8,452"
CountyOuray,"Hillary Clinton / Tim Kaine (DEM)1,697","Donald J. Trump / Michael R. Pence (REP)1,351","Total3,310"
CountyPark,"Hillary Clinton / Tim Kaine (DEM)3,421","Donald J. Trump / Michael R. Pence (REP)6,135","Total10,417"
CountyCountyPhillips,Hillary Clinton / Tim Kaine (DEM)436,"Donald J. Trump / Michael R. Pence (REP)1,791","Total2,332"
CountyPitkin,"Hillary Clinton / Tim Kaine (DEM)7,333","Donald J. Trump / Michael R. Pence (REP)2,550","Total10,523"
CountyProwers,"Hillary Clinton / Tim Kaine (DEM)1,186","Donald J. Trump / Michael R. Pence (REP)3,531","Total5,016"
CountyPueblo,"Hillary Clinton / Tim Kaine (DEM)35,875","Donald J. Trump / Michael R. Pence (REP)36,265","Total78,646"
CountyRio Blanco,Hillary Clinton / Tim Kaine (DEM)436,"Donald J. Trump / Michael R. Pence (REP)2,791","Total3,450"
CountyRio Grande,"Hillary Clinton / Tim Kaine (DEM)2,001","Donald J. Trump / Michael R. Pence (REP)3,085","Total5,534"
CountyRoutt,"Hillary Clinton / Tim Kaine (DEM)7,600","Donald J. Trump / Michael R. Pence (REP)5,230","Total13,986"
CountySaguache,"Hillary Clinton / Tim Kaine (DEM)1,417","Donald J. Trump / Michael R. Pence (REP)1,147","Total2,835"
CountySan Juan,Hillary Clinton / Tim Kaine (DEM)265,Donald J. Trump / Michael R. Pence (REP)215,Total506
CountySan Miguel,"Hillary Clinton / Tim Kaine (DEM)2,975","Donald J. Trump / Michael R. Pence (REP)1,033","Total4,329"
CountySedgwick,Hillary Clinton / Tim Kaine (DEM)267,"Donald J. Trump / Michael R. Pence (REP)1,015","Total1,364"
CountySummit,"Hillary Clinton / Tim Kaine (DEM)9,557","Donald J. Trump / Michael R. Pence (REP)5,100","Total16,174"
CountyTeller,"Hillary Clinton / Tim Kaine (DEM)3,603","Donald J. Trump / Michael R. Pence (REP)9,745","Total14,444"
CountyWashington,Hillary Clinton / Tim Kaine (DEM)296,"Donald J. Trump / Michael R. Pence (REP)2,299","Total2,733"
CountyWeld,"Hillary Clinton / Tim Kaine (DEM)46,519","Donald J. Trump / Michael R. Pence (REP)76,651","Total135,430"
CountyYuma,Hillary Clinton / Tim Kaine (DEM)726,"Donald J. Trump / Michael R. Pence (REP)3,850","Total4,791"
