County,Barack Obama / Joe Biden (DEM),Mitt Romney / Paul Ryan (REP),Total
CountyAdams,"Barack Obama / Joe Biden (DEM)100,649","Mitt Romney / Paul Ryan (REP)70,972","Total176,230"
CountyAlamosa,"Barack Obama / Joe Biden (DEM)3,811","Mitt Romney / Paul Ryan (REP)2,705","Total6,715"
CountyArapahoe,"Barack Obama / Joe Biden (DEM)153,905","Mitt Romney / Paul Ryan (REP)125,588","Total285,516"
CountyArchuleta,"Barack Obama / Joe Biden (DEM)2,679","Mitt Romney / Paul Ryan (REP)3,872","Total6,734"
CountyBaca,Barack Obama / Joe Biden (DEM)467,"Mitt Romney / Paul Ryan (REP)1,559","Total2,106"
CountyBent,Barack Obama / Joe Biden (DEM)815,"Mitt Romney / Paul Ryan (REP)1,075","Total1,942"
CountyBoulder,"Barack Obama / Joe Biden (DEM)125,091","Mitt Romney / Paul Ryan (REP)49,981","Total179,499"
CountyBroomfield,"Barack Obama / Joe Biden (DEM)16,966","Mitt Romney / Paul Ryan (REP)15,008","Total32,777"
CountyChaffee,"Barack Obama / Joe Biden (DEM)5,086","Mitt Romney / Paul Ryan (REP)5,070","Total10,462"
CountyCheyenne,Barack Obama / Joe Biden (DEM)172,Mitt Romney / Paul Ryan (REP)889,"Total1,093"
CountyClear Creek,"Barack Obama / Joe Biden (DEM)3,119","Mitt Romney / Paul Ryan (REP)2,430","Total5,743"
CountyConejos,"Barack Obama / Joe Biden (DEM)2,213","Mitt Romney / Paul Ryan (REP)1,835","Total4,101"
CountyCostilla,"Barack Obama / Joe Biden (DEM)1,340",Mitt Romney / Paul Ryan (REP)446,"Total1,837"
CountyCrowley,Barack Obama / Joe Biden (DEM)535,Mitt Romney / Paul Ryan (REP)924,"Total1,502"
CountyCuster,Barack Obama / Joe Biden (DEM)868,"Mitt Romney / Paul Ryan (REP)1,788","Total2,715"
CountyDelta,"Barack Obama / Joe Biden (DEM)4,622","Mitt Romney / Paul Ryan (REP)10,915","Total15,925"
CountyDenver,"Barack Obama / Joe Biden (DEM)222,018","Mitt Romney / Paul Ryan (REP)73,111","Total301,694"
CountyDolores,Barack Obama / Joe Biden (DEM)334,Mitt Romney / Paul Ryan (REP)859,"Total1,245"
CountyDouglas,"Barack Obama / Joe Biden (DEM)61,094","Mitt Romney / Paul Ryan (REP)104,397","Total168,084"
CountyEagle,"Barack Obama / Joe Biden (DEM)12,792","Mitt Romney / Paul Ryan (REP)9,411","Total22,668"
