CountyMorgan,"John Hickenlooper / Joe Garcia (DEM)2,646","Bob Beauprez / Jill Repella (REP)5,861","Total8,860"
CountyOtero,"John Hickenlooper / Joe Garcia (DEM)2,599","Bob Beauprez / Jill Repella (REP)3,714","Total6,696"
CountyOuray,"John Hickenlooper / Joe Garcia (DEM)1,434","Bob Beauprez / Jill Repella (REP)1,151","Total2,678"
CountyPark,"John Hickenlooper / Joe Garcia (DEM)2,958","Bob Beauprez / Jill Repella (REP)4,624","Total8,054"
CountyPhillips,John Hickenlooper / Joe Garcia (DEM)477,"Bob Beauprez / Jill Repella (REP)1,442","Total1,994"
CountyPitkin,"John Hickenlooper / Joe Garcia (DEM)5,505","Bob Beauprez / Jill Repella (REP)1,877","Total7,689"
CountyProwers,"John Hickenlooper / Joe Garcia (DEM)1,052","Bob Beauprez / Jill Repella (REP)2,728","Total3,981"
CountyPueblo,"John Hickenlooper / Joe Garcia (DEM)29,591","Bob Beauprez / Jill Repella (REP)26,696","Total59,568"
CountyRio Blanco,John Hickenlooper / Joe Garcia (DEM)434,"Bob Beauprez / Jill Repella (REP)2,166","Total2,715"
CountyRio Grande,"John Hickenlooper / Joe Garcia (DEM)1,800","Bob Beauprez / Jill Repella (REP)2,437","Total4,480"
CountyRoutt,"John Hickenlooper / Joe Garcia (DEM)6,092","Bob Beauprez / Jill Repella (REP)4,005","Total10,480"
CountySaguache,"John Hickenlooper / Joe Garcia (DEM)1,312",Bob Beauprez / Jill Repella (REP)860,"Total2,386"
CountySan Juan,John Hickenlooper / Joe Garcia (DEM)243,Bob Beauprez / Jill Repella (REP)177,Total449
CountySan Miguel,"John Hickenlooper / Joe Garcia (DEM)2,190",Bob Beauprez / Jill Repella (REP)821,"Total3,243"
CountySedgwick,John Hickenlooper / Joe Garcia (DEM)342,Bob Beauprez / Jill Repella (REP)806,"Total1,209"
CountySummit,"John Hickenlooper / Joe Garcia (DEM)7,306","Bob Beauprez / Jill Repella (REP)3,705","Total11,514"
CountyTeller,"John Hickenlooper / Joe Garcia (DEM)3,241","Bob Beauprez / Jill Repella (REP)7,364","Total11,303"
CountyWashington,John Hickenlooper / Joe Garcia (DEM)365,"Bob Beauprez / Jill Repella (REP)1,915","Total2,355"
CountyWeld,"John Hickenlooper / Joe Garcia (DEM)33,375","Bob Beauprez / Jill Repella (REP)52,844","Total90,774"
CountyYuma,John Hickenlooper / Joe Garcia (DEM)794,"Bob Beauprez / Jill Repella (REP)3,356","Total4,258"
